,ParticipantName,Blink_Counter,left_avg_pupil_dill,Start_Timestamp,RecordingTimestamp,FixationIndex,SaccadeIndex,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),SaccadicAmplitude,AbsoluteSaccadicDirection,RelativeSaccadicDirection,StrictAverageGazePointX (ADCSmm),StrictAverageGazePointY (ADCSmm),PupilLeft,PupilRight,Timestamp_n,fix_duration,Age,Average_Grade
0,o01.01.A,3037.5,-2.06956113904579e-06,890321.7011675409,1137996.598689777,1923.84964612834,3727.3936152618558,10190.17025329888,590.7261480865661,1769.6996875559719,4.6984537856951745,170.0106674321696,176.76397547452973,1011.1397026604554,642.9353721231868,4.012156401264486,3.5945648845176903,247674.89752223622,148.9172052765153,1,0.6041009006598894
1,o02.01.A,2343.5,-2.628734906259209e-06,637748.1404117318,795242.41652007,1955.4503448969,2682.4895535719083,420.4752261130591,611.3539253409376,437.6708233642083,5.1783525178387855,192.2945948294593,180.57015853903943,1047.203635317483,569.3578282553315,4.800838071502669,5.002687506007938,157494.27610833832,142.89249533108898,1,0.3637034469899639
2,o03.01.A,5455.5,-4.339636623719658e-06,738111.9285421586,936681.710832284,2040.5301552586684,3167.1362854380486,371.1969913876411,593.6929934902432,1744.547665927784,3.9128314367359742,174.4812268460205,177.99584918727544,1049.8496931435793,549.0001294996022,5.382579841143967,4.920290161056035,198569.78229012532,141.6282030754768,1,0.5826953321335343
3,o04.02.A,63.5,4.9635509017369126e-08,1270208.5831883932,1692246.6740765246,4809.399910695798,7401.217458669655,410.78094699450867,594.7932154170635,1643.4923169348358,4.735076653416362,173.52659816257153,183.534568078184,1076.7550424905644,625.6913899378571,3.133992972785145,3.045703019174762,422038.0908881314,160.17990830536138,1,0.6318346993206544
4,o05.02.A,1844.5687898815308,-2.6468285595071044e-06,652573.7559706648,821163.3345497814,2264.71294644686,7063.154909013428,432.84459528853426,555.6634732328899,1255.3403451095933,4.134131963947902,185.4692406523501,178.01589800236673,1000.4505489436689,603.5629080734793,3.5561630327432443,3.5219997579328224,168589.5785791166,141.17889151108673,1,0.5349274243234917
5,o06.02.A,2306.5,-1.1118505188909859e-06,600428.0652347415,747254.4085770581,1884.0965839823398,3586.40259684122,385.12231018060686,636.6689009501681,1460.1146125256193,4.980126374637511,167.11828089317933,182.39788554557933,1051.5784772942532,680.3288000165242,4.226532209783834,4.2361812851197,146826.34334231657,145.29767647370716,1,0.5385150663942799
6,o07.02.A,353.0,6.262034031953842e-07,542848.011293649,669346.3774561707,2013.140211934134,4810.417686397189,588.4901282305741,600.0599443251554,1383.7643327234932,4.607242238913793,182.83903969421365,180.91686100958972,999.4188999023172,664.5135577517334,2.8479272568969254,2.8368348904907887,126498.36616252182,148.27704321252975,1,0.49597874815571447
7,o08.01.A,230.0,5.477421745364327e-07,807027.4113360717,999538.1003768069,1792.4520286907184,3726.1616990341677,4049.6706800534735,639.5568347239482,2058.040648854962,5.67326890054598,188.0419745637512,173.03558252863718,1002.0692346940743,446.15814308027535,3.293605858729352,3.073940819983337,192510.68904073533,144.55933151394672,1,0.5829026622565949
8,o09.01.A,2355.5,-1.419465310238735e-07,668595.0790360942,838289.4216561812,2249.234669075765,3264.4660628246447,524.074558470393,582.526316721262,1698.3296212852583,5.579482325303775,184.07807097816496,178.27829209856765,1028.4477246859965,537.3044414052257,3.533073435616569,3.8532537525784987,169694.34262008703,140.74272702168878,1,0.5553075903497251
9,o10.02.A,123.5,-6.754662080786559e-07,727017.5165101883,913950.0633694145,2758.0135856370875,4490.621989477049,432.1513403013372,618.6491914933915,1480.2805663073225,4.401984519138318,170.56442084315023,180.3072474527474,1069.3111971575286,631.7033385281054,2.9548515792369416,3.1694942372082386,186932.54685922613,140.05170633746206,1,0.36205078473336894
